,bpp,path,res,nframes
Jockey,0.01092796585648148,/scratch/kl3866/IVP/HNeRV/batches/output/2x_16bit_gamut_brotli/2x_Jockey_QTM16_QTE6/compressed_quant_vid.pth.br,1920_960,600
Beauty,0.010996122685185185,/scratch/kl3866/IVP/HNeRV/batches/output/2x_16bit_gamut_brotli/2x_Beauty_QTM16_QTE6/compressed_quant_vid.pth.br,1920_960,600
Twilight,0.010932349537037037,/scratch/kl3866/IVP/HNeRV/batches/output/2x_16bit_gamut_brotli/2x_Twilight_QTM16_QTE6/compressed_quant_vid.pth.br,1920_960,600
CityAlley,0.01098294994212963,/scratch/kl3866/IVP/HNeRV/batches/output/2x_16bit_gamut_brotli/2x_CityAlley_QTM16_QTE6/compressed_quant_vid.pth.br,1920_960,600
ShakeNDry,0.021760517939814816,/scratch/kl3866/IVP/HNeRV/batches/output/2x_16bit_gamut_brotli/2x_ShakeNDry_QTM16_QTE6/compressed_quant_vid.pth.br,1920_960,300
HoneyBee,0.010933181423611112,/scratch/kl3866/IVP/HNeRV/batches/output/2x_16bit_gamut_brotli/2x_HoneyBee_QTM16_QTE6/compressed_quant_vid.pth.br,1920_960,600
SunBath,0.021837601273148148,/scratch/kl3866/IVP/HNeRV/batches/output/2x_16bit_gamut_brotli/2x_SunBath_QTM16_QTE6/compressed_quant_vid.pth.br,1920_960,300
FlowerKids,0.011025549768518519,/scratch/kl3866/IVP/HNeRV/batches/output/2x_16bit_gamut_brotli/2x_FlowerKids_QTM16_QTE6/compressed_quant_vid.pth.br,1920_960,600
ReadySteadyGo,0.010996050347222222,/scratch/kl3866/IVP/HNeRV/batches/output/2x_16bit_gamut_brotli/2x_ReadySteadyGo_QTM16_QTE6/compressed_quant_vid.pth.br,1920_960,600
FlowerFocus,0.010994227430555555,/scratch/kl3866/IVP/HNeRV/batches/output/2x_16bit_gamut_brotli/2x_FlowerFocus_QTM16_QTE6/compressed_quant_vid.pth.br,1920_960,600
RaceNight,0.011009939236111111,/scratch/kl3866/IVP/HNeRV/batches/output/2x_16bit_gamut_brotli/2x_RaceNight_QTM16_QTE6/compressed_quant_vid.pth.br,1920_960,600
Bosphorus,0.010991167534722223,/scratch/kl3866/IVP/HNeRV/batches/output/2x_16bit_gamut_brotli/2x_Bosphorus_QTM16_QTE6/compressed_quant_vid.pth.br,1920_960,600
YatchRide,0.010994690393518518,/scratch/kl3866/IVP/HNeRV/batches/output/2x_16bit_gamut_brotli/2x_YatchRide_QTM16_QTE6/compressed_quant_vid.pth.br,1920_960,600
RiverBank,0.010993344907407408,/scratch/kl3866/IVP/HNeRV/batches/output/2x_16bit_gamut_brotli/2x_RiverBank_QTM16_QTE6/compressed_quant_vid.pth.br,1920_960,600
