,bpp,path,res,nframes
SunBath,0.021505700231481482,/scratch/kl3866/IVP/HNeRV/batches/output/2x_24bit_gamut_brotli/2x_SunBath_QTM24_QTE6/compressed_quant_vid.pth.br,1920_960,300
FlowerFocus,0.010915386284722222,/scratch/kl3866/IVP/HNeRV/batches/output/2x_24bit_gamut_brotli/2x_FlowerFocus_QTM24_QTE6/compressed_quant_vid.pth.br,1920_960,600
HoneyBee,0.010963635706018519,/scratch/kl3866/IVP/HNeRV/batches/output/2x_24bit_gamut_brotli/2x_HoneyBee_QTM24_QTE6/compressed_quant_vid.pth.br,1920_960,600
ShakeNDry,0.021760069444444443,/scratch/kl3866/IVP/HNeRV/batches/output/2x_24bit_gamut_brotli/2x_ShakeNDry_QTM24_QTE6/compressed_quant_vid.pth.br,1920_960,300
Beauty,0.010929759837962964,/scratch/kl3866/IVP/HNeRV/batches/output/2x_24bit_gamut_brotli/2x_Beauty_QTM24_QTE6/compressed_quant_vid.pth.br,1920_960,600
Jockey,0.010963013599537037,/scratch/kl3866/IVP/HNeRV/batches/output/2x_24bit_gamut_brotli/2x_Jockey_QTM24_QTE6/compressed_quant_vid.pth.br,1920_960,600
YatchRide,0.010961060474537036,/scratch/kl3866/IVP/HNeRV/batches/output/2x_24bit_gamut_brotli/2x_YatchRide_QTM24_QTE6/compressed_quant_vid.pth.br,1920_960,600
CityAlley,0.010915574363425926,/scratch/kl3866/IVP/HNeRV/batches/output/2x_24bit_gamut_brotli/2x_CityAlley_QTM24_QTE6/compressed_quant_vid.pth.br,1920_960,600
Bosphorus,0.010921889467592592,/scratch/kl3866/IVP/HNeRV/batches/output/2x_24bit_gamut_brotli/2x_Bosphorus_QTM24_QTE6/compressed_quant_vid.pth.br,1920_960,600
RaceNight,0.010963375289351852,/scratch/kl3866/IVP/HNeRV/batches/output/2x_24bit_gamut_brotli/2x_RaceNight_QTM24_QTE6/compressed_quant_vid.pth.br,1920_960,600
RiverBank,0.010924052372685185,/scratch/kl3866/IVP/HNeRV/batches/output/2x_24bit_gamut_brotli/2x_RiverBank_QTM24_QTE6/compressed_quant_vid.pth.br,1920_960,600
Twilight,0.010922063078703704,/scratch/kl3866/IVP/HNeRV/batches/output/2x_24bit_gamut_brotli/2x_Twilight_QTM24_QTE6/compressed_quant_vid.pth.br,1920_960,600
ReadySteadyGo,0.01091070601851852,/scratch/kl3866/IVP/HNeRV/batches/output/2x_24bit_gamut_brotli/2x_ReadySteadyGo_QTM24_QTE6/compressed_quant_vid.pth.br,1920_960,600
FlowerKids,0.01092787181712963,/scratch/kl3866/IVP/HNeRV/batches/output/2x_24bit_gamut_brotli/2x_FlowerKids_QTM24_QTE6/compressed_quant_vid.pth.br,1920_960,600
