,Vid,CurEpoch,Train Time,Compression Method,Compression Encoding Time,Compression Decoding Time,"FPS (Quantized, Full Pass)","FPS (Quantized, Forward Pass)","FPS (Full Model, Full Pass)","FPS (Full Model, Forward Pass)",Encoding / Training Time Total (Full Pass),Encoding / Training Time Total (Forward Pass),Encoding / Training Time per Epoch (Full Pass),Encoding / Training Time per Epoch (Forward Pass),Split,Embed,Crop,Resize,Lr_type,LR (E-3),Batch,Size (M),ModelSize,Epoch,Loss,Act,Norm,FC,Reduce,ENC_type,ENC_strds,KS,enc_dim,DEC,DEC_strds,lower_width,Quant,bits/param,bits/param w/ overhead,bits/pixel,PSNR_list_50,Evaluation Quant Overall PSNR,Evaluation Orig Overall PSNR,best_pred_seen_psnr,best_pred_seen_ssim,best_pred_unseen_psnr,best_pred_unseen_ssim,best_quant_seen_psnr,best_quant_seen_ssim,best_quant_unseen_psnr,best_quant_unseen_ssim,pred_seen_psnr,pred_seen_ssim,pred_unseen_psnr,pred_unseen_ssim,BPS
0,vanilla_HoneyBee_QTM{qt_model}_QTE6,300,1:27:03.324115,huffman,0.0596227645874023,0.6068077087402344,73.51079999390083,79.43902511857698,71.56819217243374,77.17098027026653,1276.9726004600525,235.1243326663971,4.256575334866842,0.783747775554657,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,2,0.28_1.36_1.44,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M32_E6,1.2395520899988677,1.2427091648967177,0.0064693287037037,"28.43,28.77,29.26,28.79,29.01,29.0,29.0,29.0",tensor(26.57),tensor(26.57),29.26,0.9294,0.0,0.0,29.26,0.9294,0.0,0.0,29.0,0.9291,0.0,0.0,357728.0
0,vanilla_Jockey_QTM{qt_model}_QTE6,300,1:28:06.073025,huffman,0.060708999633789,0.6750080585479736,73.41607631357817,79.4194456618994,71.72944533420439,77.35953456322513,1287.7760910987854,242.9403383731842,4.2925869703292845,0.809801127910614,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,2,0.28_1.36_1.44,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M32_E6,1.503287345924115,1.506444420821965,0.0078422887731481,"26.24,28.33,29.46,30.18,30.57,30.63,30.63,30.63",tensor(30.44),tensor(30.32),30.63,0.889,0.0,0.0,30.51,0.888,0.0,0.0,30.63,0.889,0.0,0.0,433647.2
0,vanilla_FlowerKids_QTM{qt_model}_QTE6,300,1:26:02.485607,huffman,0.0630710124969482,0.7339141368865967,73.41182302090218,79.35096097756931,72.42143804668984,78.18431184120651,1274.3884115219116,236.94428396224976,4.247961371739706,0.7898142798741659,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,2,0.28_1.36_1.44,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M32_E6,1.522395152667221,1.5255522275650713,0.0079417607060185,"24.6,26.03,26.75,27.2,27.41,27.44,27.44,27.44",tensor(27.37),tensor(27.30),27.44,0.9078,0.0,0.0,27.37,0.9068,0.0,0.0,27.44,0.9078,0.0,0.0,182978.1667
0,vanilla_ShakeNDry_QTM{qt_model}_QTE6,300,0:45:00.650280,huffman,0.0621583461761474,0.6617603302001953,72.2644196752644,78.0131366534604,71.24886781286246,76.82936434811694,654.6617751121521,118.76734328269958,2.182205917040507,0.3958911442756653,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,2,0.28_1.42_1.46,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M32_E6,1.2609554768979765,1.2640731163289796,0.0133275679976851,"31.59,32.68,33.69,34.44,34.76,34.8,34.8,34.8",tensor(34.30),tensor(34.29),34.8,0.9656,0.0,0.0,34.78,0.9655,0.0,0.0,34.8,0.9656,0.0,0.0,736961.2
0,vanilla_ReadySteadyGo_QTM{qt_model}_QTE6,300,1:27:28.805959,huffman,0.0638942718505859,0.7168660163879395,73.76935550412178,79.81453314641519,72.40863129811463,78.22116260598209,1281.264884710312,234.5867249965668,4.270882949034373,0.7819557499885559,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,2,0.28_1.36_1.44,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M32_E6,1.5214815185363513,1.5246385934342013,0.0079370044849537,"21.37,22.63,23.45,24.0,24.3,24.34,24.34,24.34",tensor(24.28),tensor(24.19),24.34,0.8713,0.0,0.0,24.25,0.8697,0.0,0.0,24.34,0.8713,0.0,0.0,438884.6
0,vanilla_RaceNight_QTM{qt_model}_QTE6,300,1:28:02.480504,huffman,0.0587587356567382,0.6755685806274414,73.17626525223744,79.0506666613057,71.3543690410491,76.92960741904223,1288.4576692581177,242.04667592048645,4.2948588975270585,0.8068222530682881,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,2,0.28_1.36_1.44,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M32_E6,1.4572818724566754,1.4604389473545254,0.0076027922453703,"23.4,25.0,25.98,26.72,27.09,27.15,27.15,27.15",tensor(26.98),tensor(26.86),27.15,0.9091,0.0,0.0,27.03,0.9078,0.0,0.0,27.15,0.9091,0.0,0.0,175168.3333
0,vanilla_Twilight_QTM{qt_model}_QTE6,300,1:25:41.858069,huffman,0.0629498958587646,0.7231347560882568,73.63985079735023,79.54191928919889,71.9271054302229,77.53586189634463,1258.09344291687,231.64923000335693,4.1936448097229,0.7721641000111897,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,2,0.28_1.36_1.44,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M32_E6,1.5064506738312258,1.5096077487290758,0.0078587565104166,"35.49,37.99,39.32,40.5,40.96,41.03,41.03,41.03",tensor(40.95),tensor(40.90),41.03,0.9897,0.0,0.0,40.98,0.9897,0.0,0.0,41.03,0.9897,0.0,0.0,181065.75
0,vanilla_RiverBank_QTM{qt_model}_QTE6,300,1:25:22.792418,huffman,0.0630197525024414,0.6451518535614014,73.73338599342999,79.75697626467002,72.70876932367659,78.56146661417128,1284.9343569278717,239.0906472206116,4.283114523092905,0.7969688240687053,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,2,0.28_1.36_1.44,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M32_E6,1.2397264794793603,1.2428835543772108,0.0064702365451388,"20.66,20.66,20.69,20.69,20.69,20.69,20.69,20.69",tensor(20.52),tensor(20.52),20.69,0.7008,0.0,0.0,20.69,0.7008,0.0,0.0,20.69,0.7008,0.0,0.0,149074.25
0,vanilla_CityAlley_QTM{qt_model}_QTE6,300,1:26:46.919438,huffman,0.0661044120788574,0.7726702690124512,72.67951425508637,78.50470298430388,72.22282967960632,77.96473624679237,1284.713697195053,246.0154440402985,4.282378990650177,0.8200514801343282,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,2,0.28_1.36_1.44,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M32_E6,1.6014582017595969,1.6046152766574469,0.0083533492476851,"35.5,38.26,39.38,40.63,41.2,41.28,41.28,41.28",tensor(41.28),tensor(41.21),41.28,0.9936,0.0,0.0,41.21,0.9935,0.0,0.0,41.28,0.9936,0.0,0.0,192461.1667
0,vanilla_YatchRide_QTM{qt_model}_QTE6,300,1:25:39.744668,huffman,0.0619525909423828,0.7160181999206543,73.3010770609249,79.13686566009589,71.6959273716259,77.26030334413643,1259.3628118038175,230.25730633735657,4.197876039346059,0.7675243544578553,1_1_1,,480_960,-1,cosine_0.1_1_0.1,1.0,2,0.28_1.36_1.44,1.5,300,L2,gelu,none,9_16,1.2,convnext,"5,4,3,2,2",0_1_5,64_16,pshuffel,"5,4,3,2,2",12,quant_M32_E6,1.445514403806832,1.4486714787046822,0.0075415328414351,"26.21,27.25,27.93,28.44,28.71,28.74,28.74,28.74",tensor(28.72),tensor(28.67),28.74,0.9186,0.0,0.0,28.69,0.918,0.0,0.0,28.74,0.9186,0.0,0.0,417016.6
