Video,Resolution,QP,PSNR,BPP
FlowerKids,960x540,27,34.12900412760776,0.1034659465020576
FlowerKids,960x540,32,31.34238222510497,0.047835159465020566
FlowerKids,960x540,37,28.68722561753468,0.02234976851851852
FlowerKids,960x540,42,26.09332632968213,0.009903600823045271
ShakeNDry,1920x1080,17,38.42596120716363,0.6674219393004115
ShakeNDry,1920x1080,22,36.7749782333981,0.2268694958847737
ShakeNDry,1920x1080,27,35.145229357062924,0.10156525205761316
ShakeNDry,1920x1080,32,33.24260390065682,0.04685213477366256
ShakeNDry,1920x1080,37,31.155803148879624,0.01913905606995885
ShakeNDry,1920x1080,42,29.038029346070648,0.006245820473251029
ShakeNDry,960x540,17,38.020528998591146,0.6516109567901235
ShakeNDry,960x540,22,35.99554538290415,0.3153027263374485
ShakeNDry,960x540,27,33.814472820813165,0.1445949074074074
ShakeNDry,960x540,32,31.57345768765769,0.0561440329218107
ShakeNDry,960x540,37,29.35547145395705,0.018592798353909458
ShakeNDry,960x540,42,27.24249527245975,0.006275771604938272
Jockey,960x540,17,39.794733113817,0.2612182355967078
Jockey,960x540,22,38.40225922704924,0.11869876543209874
Jockey,960x540,27,36.59489877737523,0.06159521604938273
Jockey,960x540,32,34.32866288966323,0.03298348765432098
Jockey,960x540,37,31.84267522065637,0.018168930041152262
Jockey,960x540,42,29.17300198791295,0.009730941358024691
Jockey,1920x1080,17,39.251054835465176,0.4373966692386832
Jockey,1920x1080,22,38.12334822585649,0.09605847479423868
Jockey,1920x1080,27,37.05643876892456,0.03564705504115226
Jockey,1920x1080,32,35.44582342926019,0.018209387860082304
Jockey,1920x1080,37,33.36327878860932,0.010146508487654322
Jockey,1920x1080,42,30.982502073085822,0.005557349537037037
RaceNight,1920x1080,17,39.609061980639524,0.4696586612654321
RaceNight,1920x1080,22,38.205853742325104,0.16584533179012345
RaceNight,1920x1080,27,36.53848522232576,0.08470512474279836
RaceNight,1920x1080,32,34.45689401653106,0.046057921810699586
RaceNight,1920x1080,37,32.08802211340215,0.025507163065843608
RaceNight,1920x1080,42,29.592550517796372,0.013636291152263374
RaceNight,960x540,17,39.89436338016144,0.4935570216049383
RaceNight,960x540,22,37.80899058956735,0.2795349279835391
RaceNight,960x540,27,35.388597465220926,0.15642376543209874
RaceNight,960x540,32,32.8195241661182,0.08518418209876544
RaceNight,960x540,37,30.16862348836295,0.04583752572016461
RaceNight,960x540,42,27.533092736858954,0.02345748456790124
ReadySteadyGo,960x540,17,39.3598592739429,0.6061608024691358
ReadySteadyGo,960x540,22,36.77353627012826,0.33095408950617283
ReadySteadyGo,960x540,27,34.01045599026808,0.17516718106995885
ReadySteadyGo,960x540,32,31.19402364545157,0.09065943930041152
ReadySteadyGo,960x540,37,28.44546716629811,0.04685246913580247
ReadySteadyGo,960x540,42,25.895213569199647,0.02311316872427984
ReadySteadyGo,1920x1080,17,40.52884637315809,0.3651068672839505
ReadySteadyGo,1920x1080,22,38.5463745925509,0.17078955761316872
ReadySteadyGo,1920x1080,27,36.20956128070813,0.0888735596707819
ReadySteadyGo,1920x1080,32,33.57564531969525,0.04747646604938272
ReadySteadyGo,1920x1080,37,30.833762540597462,0.025782735339506167
ReadySteadyGo,1920x1080,42,28.15547724648417,0.013472202932098764
CityAlley,960x540,17,42.22522182070668,0.04897276234567901
CityAlley,960x540,22,40.240538381522704,0.017326157407407408
CityAlley,960x540,27,37.94561416919208,0.006880169753086421
CityAlley,960x540,32,35.34901230524048,0.003503112139917696
CityAlley,960x540,37,32.911155518875454,0.002232278806584362
CityAlley,960x540,42,30.87731555891694,0.0015714763374485596
CityAlley,1920x1080,17,42.23237312603519,0.0606897762345679
CityAlley,1920x1080,22,40.78017017142536,0.013819142232510288
CityAlley,1920x1080,27,38.99118299357118,0.0048687435699588475
CityAlley,1920x1080,32,36.80344891684665,0.0021903549382716048
CityAlley,1920x1080,37,34.442301300256894,0.0012910043724279835
CityAlley,1920x1080,42,32.204691971168245,0.0008824202674897119
RiverBank,960x540,17,39.4500378909796,0.5044136574074074
RiverBank,960x540,22,36.955497486450994,0.25728536522633744
